2Theta,Intensity
16.8000,0.0000
16.8200,0.0000
16.8400,0.0000
16.8600,0.0000
16.8800,0.0000
16.9000,0.0000
16.9200,0.0000
16.9400,0.0000
16.9600,0.0000
16.9800,0.0000
17.0000,0.0000
17.0200,0.0000
17.0400,0.0000
17.0600,0.0000
17.0800,0.0000
17.1000,0.0000
17.1200,0.0000
17.1400,0.0000
17.1600,0.0000
17.1800,0.0000
17.2000,0.0001
17.2200,0.0032
17.2400,0.0455
17.2600,0.4186
17.2800,2.4465
17.3000,9.0930
17.3200,21.4921
17.3400,32.3042
17.3600,30.8779
17.3800,18.7692
17.4000,7.2552
17.4200,1.7835
17.4400,0.2788
17.4600,0.0277
17.4800,0.0018
17.5000,0.0001
17.5200,0.0000
17.5400,0.0000
17.5600,0.0001
17.5800,0.0018
17.6000,0.0277
17.6200,0.2765
17.6400,1.7558
17.6600,7.0893
17.6800,18.2028
17.7000,29.7221
17.7200,30.8625
17.7400,20.3794
17.7600,8.5578
17.7800,2.2853
17.8000,0.3881
17.8200,0.0419
17.8400,0.0029
17.8600,0.0001
17.8800,0.0000
17.9000,0.0000
17.9200,0.0000
17.9400,0.0000
17.9600,0.0000
17.9800,0.0000
18.0000,0.0000
18.0200,0.0000
18.0400,0.0000
18.0600,0.0000
18.0800,0.0000
18.1000,0.0000
18.1200,0.0000
18.1400,0.0000
18.1600,0.0000
18.1800,0.0000
18.2000,0.0000
18.2200,0.0000
18.2400,0.0000
18.2600,0.0000
18.2800,0.0000
18.3000,0.0000
18.3200,0.0000
18.3400,0.0000
18.3600,0.0000
18.3800,0.0000
18.4000,0.0000
18.4200,0.0000
18.4400,0.0000
18.4600,0.0000
18.4800,0.0000
18.5000,0.0000
18.5200,0.0000
18.5400,0.0000
18.5600,0.0000
18.5800,0.0000
18.6000,0.0000
18.6200,0.0000
18.6400,0.0000
18.6600,0.0000
18.6800,0.0000
18.7000,0.0000
18.7200,0.0000
18.7400,0.0000
18.7600,0.0004
18.7800,0.0072
18.8000,0.0888
18.8200,0.6943
18.8400,3.4524
18.8600,10.9167
18.8800,21.9519
18.9000,28.0712
18.9200,22.8275
18.9400,11.8050
18.9600,3.8822
18.9800,0.8119
19.0000,0.1080
19.0200,0.0091
19.0400,0.0005
19.0600,0.0000
19.0800,0.0000
19.1000,0.0000
19.1200,0.0000
19.1400,0.0000
19.1600,0.0000
19.1800,0.0000
19.2000,0.0000
19.2200,0.0000
19.2400,0.0002
19.2600,0.0050
19.2800,0.0650
19.3000,0.5347
19.3200,2.7978
19.3400,9.3103
19.3600,19.7023
19.3800,26.5145
19.4000,22.6912
19.4200,12.3499
19.4400,4.2848
19.4600,1.0639
19.4800,1.0207
19.5000,4.0910
19.5200,11.9042
19.5400,22.0890
19.5600,26.0665
19.5800,19.5613
19.6000,9.3352
19.6200,2.8331
19.6400,0.5468
19.6600,0.0671
19.6800,0.0052
19.7000,0.0003
19.7200,0.0000
19.7400,0.0000
19.7600,0.0000
19.7800,0.0000
19.8000,0.0012
19.8200,0.0199
19.8400,0.2018
19.8600,1.3014
19.8800,5.3372
19.9000,13.9191
19.9200,23.0843
19.9400,24.3464
19.9600,16.3320
19.9800,7.0074
20.0000,2.2659
20.0200,2.4318
20.0400,7.5232
20.0600,16.9965
20.0800,25.0106
20.1000,25.6779
20.1200,23.4317
20.1400,24.9455
20.1600,25.6777
20.1800,19.1682
20.2000,9.3644
20.2200,2.9259
20.2400,0.5820
20.2600,0.0736
20.2800,0.0059
20.3000,0.0003
20.3200,0.0000
20.3400,0.0000
20.3600,0.0000
20.3800,0.0000
20.4000,0.0000
20.4200,0.0000
20.4400,0.0000
20.4600,0.0000
20.4800,0.0000
20.5000,0.0000
20.5200,0.0000
20.5400,0.0000
20.5600,0.0000
20.5800,0.0000
20.6000,0.0000
20.6200,0.0000
20.6400,0.0000
20.6600,0.0000
20.6800,0.0000
20.7000,0.0000
20.7200,0.0000
20.7400,0.0000
20.7600,0.0000
20.7800,0.0000
20.8000,0.0000
20.8200,0.0000
20.8400,0.0000
20.8600,0.0000
20.8800,0.0000
20.9000,0.0000
20.9200,0.0000
20.9400,0.0000
20.9600,0.0000
20.9800,0.0000
21.0000,0.0000
21.0200,0.0000
21.0400,0.0000
21.0600,0.0000
21.0800,0.0000
